TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
504840,20240802,1936.00,1936.00,1900.10,1929.00,56
504879,20240802,50.79,50.79,47.30,49.63,26082
504882,20240802,4601.00,4669.95,4600.00,4630.40,22
504903,20240802,75.90,79.00,75.90,75.90,919950
504908,20240802,614.55,641.50,605.50,621.50,358
504918,20240802,580.00,592.80,575.55,582.95,14295
504959,20240802,3175.00,3254.00,3150.00,3214.90,245
504961,20240802,93.95,93.95,91.00,92.51,6053
504973,20240802,1534.05,1574.65,1518.70,1537.95,7780
504988,20240802,1645.00,1686.80,1641.80,1667.35,143
505010,20240802,2037.30,2078.85,2021.65,2067.30,1857
505036,20240802,3118.00,3449.00,3099.95,3363.25,34929
505075,20240802,13.25,13.26,13.25,13.26,12365
505160,20240802,368.05,382.85,365.35,373.40,54459
505163,20240802,1160.70,1160.70,1126.00,1133.50,3133
505192,20240802,2170.00,2291.50,2145.00,2155.45,10201
505196,20240802,390.60,390.60,390.60,390.60,60600
505200,20240802,4899.95,4899.95,4692.00,4724.40,17996
505212,20240802,145.10,154.30,140.00,145.35,411
505216,20240802,1573.00,1574.00,1450.20,1500.00,10
505232,20240802,1720.00,1793.45,1720.00,1793.45,103
505242,20240802,6948.00,7213.75,6882.80,6986.65,1014
505250,20240802,122.20,150.95,122.20,142.75,27763
505255,20240802,1430.05,1458.45,1426.20,1450.75,7308
505283,20240802,1354.95,1429.85,1354.20,1381.40,12413
505285,20240802,727.40,727.40,727.40,727.40,10
505299,20240802,840.00,855.00,825.00,839.65,2994
505302,20240802,2500.00,2563.95,2500.00,2500.00,70
505324,20240802,20.76,21.99,20.76,21.32,2510
505336,20240802,36.05,36.05,36.05,36.05,50
505343,20240802,0.85,0.85,0.85,0.85,1192755
505355,20240802,900.70,924.00,881.55,884.00,13191
505358,20240802,262.00,279.00,259.10,272.15,116009
505368,20240802,572.50,572.50,541.70,570.00,1672
505400,20240802,130.30,135.00,130.30,132.40,69863
505412,20240802,15370.25,15470.00,15300.00,15367.55,34
505502,20240802,8.38,8.38,8.38,8.38,12481
505509,20240802,282.00,284.85,274.00,283.35,32040
505515,20240802,11.03,11.03,11.03,11.03,7836
505523,20240802,0.81,0.81,0.78,0.79,1712893
505526,20240802,139.25,152.90,139.15,148.40,304145
505533,20240802,814.05,821.75,800.00,810.35,5475
505537,20240802,140.05,145.40,139.05,142.70,1383297
505590,20240802,7.26,7.34,7.10,7.14,13208
505650,20240802,25.46,25.99,25.00,25.03,3300
505681,20240802,642.05,657.95,642.05,647.80,857
505688,20240802,110.35,113.95,110.35,112.80,14725
505690,20240802,1177.00,1246.00,1176.00,1213.65,413
505693,20240802,17.80,18.00,17.10,17.50,252071
505700,20240802,630.00,641.85,601.80,610.05,57579
505703,20240802,79.62,79.62,79.62,79.62,899
505710,20240802,84.60,97.00,84.23,94.08,2313423
505712,20240802,211.90,220.00,206.35,216.90,99160
505714,20240802,488.00,504.95,482.70,497.50,16525
505720,20240802,596.05,627.55,596.05,618.85,5394
505725,20240802,1370.00,1370.00,1187.20,1199.45,6668
505726,20240802,1875.10,2017.00,1871.80,1948.00,26859
505729,20240802,84.50,85.69,83.55,84.43,75466
505737,20240802,1267.00,1293.00,1255.00,1262.85,5276
505744,20240802,420.10,440.00,420.10,433.50,9727
505750,20240802,987.05,1051.00,987.05,1025.75,3213
505790,20240802,4154.85,4154.85,4028.50,4043.95,2500
505800,20240802,1657.65,1817.05,1639.40,1655.45,3964
