HDFCBANK-I,20240802,1639.95,1677.45,1637.55,1664.5,103309
HDFCBANK-II,20240802,1658.7,1682.5,1647.0,1670.4,4713
HDFCBANK-III,20240802,1665.0,1692.0,1655.95,1678.8,594
HDFCLIFE-I,20240802,710.0,716.6,703.3,710.0,5666
HDFCLIFE-II,20240802,715.0,720.95,708.2,714.7,291
HDFCLIFE-III,20240802,719.5,725.2,713.0,719.25,35
HEROMOTOCO-I,20240802,5375.5,5399.95,5261.65,5297.15,11518
HEROMOTOCO-II,20240802,5355.25,5430.0,5300.0,5330.3,405
HEROMOTOCO-III,20240802,5377.8,5450.25,5340.45,5371.25,44
HINDALCO-I,20240802,661.15,665.2,645.15,647.05,11807
HINDALCO-II,20240802,665.0,669.5,649.85,651.45,554
HINDALCO-III,20240802,665.0,673.7,655.0,656.05,53
HINDCOPPER-I,20240802,315.95,317.2,308.75,310.9,3034
HINDCOPPER-II,20240802,315.2,317.5,310.6,312.2,323
HINDCOPPER-III,20240802,318.2,319.45,314.6,314.75,23
HINDPETRO-I,20240802,389.0,400.4,385.25,391.05,9560
HINDPETRO-II,20240802,387.75,402.8,387.75,393.5,379
HINDPETRO-III,20240802,394.6,403.5,391.05,396.5,29
HINDUNILVR-I,20240802,2724.1,2773.0,2697.2,2704.75,14774
HINDUNILVR-II,20240802,2746.2,2790.0,2715.3,2722.65,633
HINDUNILVR-III,20240802,2760.0,2792.0,2731.3,2734.75,35
ICICIBANK-I,20240802,1194.0,1197.0,1186.45,1189.75,39959
ICICIBANK-II,20240802,1201.9,1204.0,1194.0,1197.0,594
ICICIBANK-III,20240802,1212.0,1212.0,1202.0,1204.85,107
ICICIGI-I,20240802,1985.2,2016.0,1982.45,1993.15,904
ICICIGI-II,20240802,2016.35,2028.5,2000.0,2006.65,32
ICICIGI-III,20240802,2020.0,2020.0,2020.0,2020.0,1
ICICIPRULI-I,20240802,730.1,740.35,727.2,731.9,1712
ICICIPRULI-II,20240802,734.8,742.2,730.85,735.15,103
ICICIPRULI-III,20240802,741.0,743.0,736.0,736.05,9
IDEA-I,20240802,15.9,16.56,15.88,16.26,16703
IDEA-II,20240802,16.0,16.63,16.0,16.35,950
IDEA-III,20240802,16.21,16.7,16.21,16.5,89
IDFC-I,20240802,110.38,110.8,109.07,109.41,3850
IDFC-II,20240802,111.16,111.43,109.9,110.17,502
IDFC-III,20240802,111.51,111.9,110.15,110.62,35
IDFCFIRSTB-I,20240802,74.5,74.67,73.53,73.93,8909
IDFCFIRSTB-II,20240802,74.34,74.53,73.27,73.84,2492
IDFCFIRSTB-III,20240802,74.03,74.52,73.37,73.84,414
IEX-I,20240802,186.25,199.0,185.1,196.32,14061
IEX-II,20240802,189.0,200.1,187.12,197.35,882
IEX-III,20240802,193.25,201.25,191.49,198.67,145
IGL-I,20240802,541.75,545.4,536.05,540.85,1569
IGL-II,20240802,540.1,543.35,538.0,540.1,78
IGL-III,20240802,0.0,0.0,0.0,542.9,0
INDHOTEL-I,20240802,630.0,639.65,625.95,631.1,4230
INDHOTEL-II,20240802,633.95,643.3,632.8,634.7,201
INDHOTEL-III,20240802,643.25,643.6,639.5,639.5,6
INDIACEM-I,20240802,361.15,378.8,361.15,372.95,432
INDIAMART-I,20240802,2802.25,2857.5,2745.05,2793.65,659
INDIAMART-II,20240802,2827.9,2827.9,2770.0,2778.5,48
INDIAMART-III,20240802,2780.85,2780.85,2761.4,2768.45,5
INDIGO-I,20240802,4374.85,4422.0,4325.35,4334.15,4160
INDIGO-II,20240802,4390.0,4450.0,4356.0,4363.5,255
INDIGO-III,20240802,4442.45,4474.8,4390.0,4390.95,16
INDUSINDBK-I,20240802,1416.85,1420.85,1400.55,1411.25,12991
INDUSINDBK-II,20240802,1430.0,1430.0,1411.0,1420.5,454
INDUSINDBK-III,20240802,1435.45,1439.45,1422.15,1431.25,80
INDUSTOWER-I,20240802,426.4,429.4,421.55,423.15,3853
INDUSTOWER-II,20240802,430.45,431.5,424.3,425.95,173
INDUSTOWER-III,20240802,434.0,434.0,427.2,430.8,14
INFY-I,20240802,1854.8,1866.75,1826.0,1830.0,30694
INFY-II,20240802,1870.1,1876.85,1837.0,1840.55,814
INFY-III,20240802,1866.6,1871.85,1835.0,1837.95,102
IOC-I,20240802,177.52,179.98,175.16,177.81,10913
IOC-II,20240802,178.5,181.05,176.4,179.01,774
IOC-III,20240802,179.2,182.32,177.95,180.32,85
IPCALAB-I,20240802,1282.0,1308.85,1281.1,1293.95,883
IPCALAB-II,20240802,1296.45,1305.8,1292.0,1292.0,33
IPCALAB-III,20240802,1300.0,1300.0,1300.0,1300.0,2
IRCTC-I,20240802,970.95,976.9,962.6,965.65,3680
IRCTC-II,20240802,970.15,983.35,969.0,972.7,300
IRCTC-III,20240802,983.0,989.45,976.4,978.85,37
ITC-I,20240802,491.0,502.45,488.05,491.25,25819
ITC-II,20240802,494.35,504.75,492.0,494.05,958
ITC-III,20240802,497.5,506.65,496.0,497.15,124
JINDALSTEL-I,20240802,974.6,976.45,954.05,957.6,6081
JINDALSTEL-II,20240802,971.25,981.35,961.0,963.75,259
JINDALSTEL-III,20240802,977.3,981.85,970.3,970.3,12
JKCEMENT-I,20240802,4310.25,4363.0,4240.0,4257.95,2047
JKCEMENT-II,20240802,4276.7,4321.0,4204.6,4212.0,187
JKCEMENT-III,20240802,4275.0,4275.0,4275.0,4275.0,1
JSWSTEEL-I,20240802,927.5,927.6,898.2,901.85,10048
JSWSTEEL-II,20240802,930.0,932.1,905.0,907.15,340
JSWSTEEL-III,20240802,943.25,943.25,911.0,913.25,43
JUBLFOOD-I,20240802,596.1,615.6,589.1,603.2,6536
JUBLFOOD-II,20240802,588.95,606.8,587.55,594.6,873
JUBLFOOD-III,20240802,588.25,598.65,588.25,598.65,24
KOTAKBANK-I,20240802,1795.65,1815.65,1784.95,1807.95,22023
KOTAKBANK-II,20240802,1800.0,1826.9,1796.75,1819.3,411
KOTAKBANK-III,20240802,1820.0,1838.55,1815.0,1830.9,70
LALPATHLAB-I,20240802,3065.0,3120.0,3050.5,3091.95,883
LALPATHLAB-II,20240802,3044.7,3100.15,3032.9,3077.7,66
LALPATHLAB-III,20240802,3049.25,3096.2,3049.25,3085.7,7
LAURUSLABS-I,20240802,445.3,455.6,439.2,449.8,3481
LAURUSLABS-II,20240802,445.15,458.25,440.7,451.8,242
LAURUSLABS-III,20240802,460.25,461.55,452.0,457.0,14
LICHSGFIN-I,20240802,740.65,755.9,733.6,741.05,8916
LICHSGFIN-II,20240802,745.25,760.0,740.1,745.6,445
LICHSGFIN-III,20240802,753.1,761.25,746.5,752.15,30
LT-I,20240802,3758.95,3773.7,3668.0,3676.4,32232
LT-II,20240802,3793.85,3793.85,3691.85,3699.5,1188
LT-III,20240802,3821.0,3821.0,3721.0,3724.95,155
LTF-I,20240802,175.36,179.6,172.74,177.6,4814
LTF-II,20240802,176.3,180.64,173.9,178.78,343
LTF-III,20240802,176.5,181.55,176.0,179.72,21
LTIM-I,20240802,5681.0,5689.65,5500.1,5525.95,6920
LTIM-II,20240802,5726.4,5726.4,5540.15,5561.1,261
LTIM-III,20240802,5708.45,5708.45,5559.85,5586.6,26
LTTS-I,20240802,5074.95,5209.5,5000.0,5079.9,5155
LTTS-II,20240802,5008.3,5150.0,4959.0,5020.3,1126
LTTS-III,20240802,5011.0,5107.55,4945.05,5035.0,108
LUPIN-I,20240802,1963.4,1992.95,1952.05,1966.5,10422
LUPIN-II,20240802,1970.6,2000.95,1970.0,1978.55,390
LUPIN-III,20240802,1982.95,2005.0,1982.95,1989.9,27
M&M-I,20240802,2829.85,2829.85,2743.0,2757.55,13876
M&M-II,20240802,2822.15,2838.15,2761.0,2777.2,582
M&M-III,20240802,2840.0,2853.0,2780.75,2799.05,105
M&MFIN-I,20240802,300.0,304.15,297.05,302.4,3058
M&MFIN-II,20240802,293.9,299.75,293.2,297.45,313
M&MFIN-III,20240802,298.0,298.0,294.55,294.5,21
MANAPPURAM-I,20240802,210.25,213.67,207.32,209.61,5000
MANAPPURAM-II,20240802,209.62,214.72,208.99,211.09,358
MANAPPURAM-III,20240802,213.1,216.0,212.0,212.59,35
MARICO-I,20240802,675.15,678.65,661.15,664.95,2670
MARICO-II,20240802,681.0,682.0,666.15,669.9,197
MARICO-III,20240802,675.7,677.3,674.5,674.5,4
MARUTI-I,20240802,13135.0,13192.9,12719.0,12755.3,40313
MARUTI-II,20240802,13150.0,13167.2,12807.0,12838.55,1299
